Headings,Dates,Summaries
Excavation Signals Remediation Progress At Cabot-Koppers Superfund Site,"November 6, 2019",The scorned smell that wafts from Cabot-Koppers Superfund site on Northwest 23rd Avenue in Gainesville is from the excavation of the odorous pine tar still in the ground where charcoal facilities used to be on the Cabot Corp.’s 50-acre portion of the site. 
Gainesville Residents Protest Seven Springs Water Permit At Ginnie Springs And Santa Fe River,"November 4, 2019",The Suwannee County Water Management District will vote on the renewal of the Seven Springs Water Company’s contract later this year.
Free Classes About The Florida Springs To Be Held Through May,"November 4, 2019","The first class in October consisted of an overview of Florida’s springs. It detailed how human interaction has affected springs, rivers and lakes over the years and how efforts can be made to repair damages already done. "
"Bees Find Hope Against ‘Destructor’ Mites, Thanks To UF Research","October 29, 2019","The Varroa destructor, an aggressive mite, is the leading cause of bee decline and colony collapse. But a new research method at the University of Florida may give the bees a fighting chance. "
"County Fertilizer Ordinance in Effect, Local Landscaping Professionals Speak Up","October 28, 2019","Local lawns might not look as green this fall due to an updated Alachua County fertilizer ordinance, and lawn care companies are starting to feel the effects. The amended ordinance, which took effect on Oct. 1, implemented a seasonal ban on the use of fertilizers containing nitrogen – a main …"
Bradford County Approves Titanium Mining On 800-Plus Acres Of Land,"October 18, 2019",The Chemours Company proposed a special permit in September to mine on 886 acres of land.
What’s The Next Step In The Lawsuit Over The Rodman Dam?,"October 3, 2019",Read the judge's full ruling from Monday here.
Environmentalists Speak Out Against Nestlé Permit,"October 1, 2019","The permit, if approved, would allow Nestlé to pump about 1.2 million gallons of water a day from Ginnie Springs. The spring is already classified as impaired, and local environmentalists argue that the permit would further damage the recovering waterway and surrounding community."
"Despite Pushback, Alachua County Ramps Up Airboating Curfew Enforcement","September 19, 2019","Recent additions to the Alachua County airboating ordinance and an additional $20,000 budget allows for additional lake patrolling. "
"At This Florida Peanut Farm, Yields Are Down From Last Year But Still Abundant","September 16, 2019","Peanuts make up 1.7% of Florida’s crops, but crop yields are down from last year. "
How To Help Hurricane Dorian Recovery In Bahamas,"September 6, 2019",Neighborhoods have been destroyed and families forever impacted after Hurricane Dorian battered the Bahamas for almost 30 hours as a Category 5 hurricane. Emergency relief and long-term assistance are needed. 
Hurricane Dorian Leaves Terrible Damage And Stranded Residents As Rescuers Scramble To Help,"September 3, 2019","Dorian is the strongest storm to ever make landfall in the Bahamas as category 5 storm, leaving at least five people dead and hundreds of homes destroyed."
Health Facilities Evacuated As Dorian Looms,"September 2, 2019",Florida officials said Monday that 72 nursing homes and assisted living facilities and seven hospitals on the state’s East Coast had been evacuated in preparation for Hurricane Dorian. Agency for Health Care Administration Secretary Mary Mayhew told reporters that only four of the long-term care facilities were evacuated because they …
Tolls Lifted As Devastating Dorian Remains A Threat,"September 1, 2019","Tolls were suspended Sunday on Florida’s Turnpike and other roads in South Florida and Central Florida, as local mandatory evacuation orders started and large portions of the state’s East Coast continued to face threats from catastrophic Hurricane Dorian. With Dorian churning westward Sunday afternoon less than a couple of hundred …"
Lake City Wetlands Project One of Many Improving Springs’ Water Quality And Quantity,"August 19, 2019",A former wastewater spray field in Lake City is now a 121-acre wetlands project that is part of a $100 million statewide springs restoration initiative.
Alachua County Commission Decides To Repeal Plastic Ban After Lawsuit Threat,"August 7, 2019",Deliberation on the motion to appeal Alachua County's ban on Styrofoam carry-out containers and single-use plastic bags took less than 20 minutes.
Micanopy’s Tree-Lined Heritage: A Balance Between Charm And Power,"July 30, 2019","The same towering, moss-laden live oaks and magnolia trees that line Cholokka Boulevard through downtown Micanopy are the roots of concern for residents and electrical companies alike. Their unruly growth wreaks havoc on the power lines, too frequently leaving many Micanopy residents without power."
Community Brainstorms Ideas to Help Prepare for Alachua County Fertilizer Ban,"July 26, 2019","The Alachua County Commission adopted the ordinance amendments in April to help preserve county water sources like springs, lakes, creeks and the aquifer."
Florida Cabinet Agrees To Buy And Conserve Fish Island In St. Augustine For $6.5M,"July 25, 2019",Fish Island is one of the last remaining undeveloped waterfront properties in St. Augustine.
"As Planet Heats Up, Scientists Race To Save Reefs","July 24, 2019","Over the last year, the National Academies of Sciences and Engineering has put together a team to find ways to protect dying coral reefs. These solutions range from gene editing to manipulating clouds."
County Commission Agrees On Conservation Easement For Camp McConnell Property,"July 11, 2019",The board of Alachua County Commissioners discussed putting a conservation easement on the county-owned Camp McConnell property at a county commission meeting Tuesday in lieu of a public hearing meeting to discuss sale to a South Florida group.
Duke Solar Projects Get Go-Ahead,"July 10, 2019","State regulators have approved a plan by Duke Energy Florida to build three solar-power projects in Gilchrist, Highlands and Volusia counties."
Young Leaders for Wild Florida Fight Against Proposed Phosphate Mines,"June 26, 2019",A group of young people spoke in front of the Alachua County Commission on Tuesday in order to fight in opposition to a proposed phosphate mine in southeastern Union County and in western Bradford County. HPS Enterprises is the company behind the HPS II phosphate mining project. It is made …
Disaster Relief Blocked Again In Congress,"May 29, 2019","A second congressional Republican, arguing for a vote by the full House, blocked an attempt Tuesday to pass long-stalled federal disaster relief funding that would assist Florida’s hurricane-ravaged Panhandle."
Gainesville Partners With UF For Environmental Study At Fred Cone Park,"April 23, 2019","The research team has already completed an initial drone flyover to get a visual of the area being treated, plotted a grid, tested soil, sampled vegetation, applied herbicide and top dressed the field with compost."
"‘A Complex Issue With Many Factors,’ Red Tide Is The Focus Of UF Panel This Week","April 23, 2019","UF's Thompson Earth Systems Institute is hosting a panel called “Beyond Dead Fish: How Red Tide Affects All Floridians,” on Friday from 3 to 4 p.m."
Competition From Mexico Endangers Florida’s Strawberry Industry,"April 18, 2019",Florida's lucrative strawberry industry is in danger as Mexico imports cheap produce into the United States. Farmers have immense financial stress on them as they must lower their prices to stay competitive. 
Invisible Aftermath,"April 11, 2019","WUFT journalists look into the unseen trauma of weathering a storm like last year’s Category 4 Hurricane Michael, which devastated the Florida Panhandle. "
New Sustainable Urban Development Survey Seeks Gainesville’s Opinion,"April 3, 2019",Gainesville's canopy has grown smaller and smaller over the past decade. Some researchers are looking to the public to learn how they feel about this and what can be done to improve the city. 
Cane Toads Flourishing In South Florida,"April 1, 2019","An outbreak of cane toads occurred two weekends ago in Palm Beach Gardens. Once imported to eat bugs in sugar cane fields, they’re now an invasive poisonous species. According to UF Wildlife Ecology Professor Steve Johnson, the toads are a serious threat to pets. Symptoms of cane toad poisoning in dogs …"
Keep Alachua County Beautiful Is Fighting Cigarette Waste In Downtown Gainesville With Pocket Ashtrays,"March 26, 2019","It began in January, when Keep Alachua County Beautiful started partnering with local businesses to help reduce litter by limiting cigarette butts."
The Boots Are Back: South Florida Senator Wears Rain Boots To Capitol To Push For Climate Change Legislation,"March 22, 2019","For the second year in a row, Sen. Jose Javier Rodriguez, D-Miami, is wearing rain boots every day of the legislative session to make climate change a priority for state legislators. "
Florida’s Largest Live Oak Protected Amid Gainesville’s Canopy Loss,"March 21, 2019","From 1996 to 2016, Gainesville had lost 11 percent of its tree canopy. But green spaces like Cellon Oak Park, home to Florida's largest live oak, help keep biodiversity alive in the city. "
Clean Creek Annual Trash Cleanup Collects More Waste Than All Previous Years Combined,"March 19, 2019","Gainesville got a little cleaner this past weekend as about 160 volunteers collected 19,121 pounds of trash during the fifth annual Clean Creek Revival, according to Megan Black, executive director of Current Problems, a nonprofit environmental group."
Silver Springs Reintroduces Small-Game Hunting,"March 18, 2019","Hunting is slowly being reintroduced to the conservation area, much to the delight of some Ocala locals."
Juniper Prairie Wilderness Reopens After Bear Activity Forced Closure,"March 18, 2019","After being closed for a month, Juniper Prairie Wilderness in the Ocala National Forest is now open to the public during daylight. The closure came after increased bear activity. Overnight camping is still off limits after a bear attacked tents in the area."
Kanapaha Prairie Flooding Presents Conundrum For Alachua County Government And Private Property Owners,"March 1, 2019",Residents of the Kanapaha Prairie area southwest of Gainesville are calling for more immediate solutions as floodwaters rise near their neighborhood.
Alachua County Commission Votes To Acquire 340 Acres For $1M,"February 27, 2019","On Tuesday, the board of county commissioners voted to exercise the option to purchase and protect 340 acres of private forests and wetlands."
"With Plastic Bag Ban Looming, Restaurant Co-Owner Opens The First Plastic-Free Shop In Gainesville","February 26, 2019",Joy Hughes recently opened Life Unplastic in the Thornebrook Village Shopping Center as the first plastic-free shop in Gainesville.
"Milkweed Seed Workshop Honors Daughter, Benefits Monarch Butterflies","February 25, 2019",Dozens of people crowded into an urban farm during the first half hour of a workshop intended to help Florida's population of monarch butterflies. 
Florida to Ban Dumping Blood Off Beaches to Lure Sharks,"February 19, 2019",Florida is preparing a new statewide ban on the practice by fishermen along the state’s iconic beaches of dumping bloody fish guts into the ocean to lure sharks closer to shore – and possibly closer to swimmers and waders. Land-based anglers say the ban threatens long traditions of shark fishing and penalizes fishermen who can’t afford their own boats or expensive charters. 
Local Scientists Want Plastic Ban Amended For Greater Environmental Protection,"February 14, 2019","The City of Gainesville passed a plastic ban earlier this year. Some local scientists see this ordinance as a good first step, but don't think it goes far enough. Here are their proposals:"
Excessive Rain Overruns Williston’s Cedar Lakes Woods And Garden,"February 11, 2019","Excessive rainfall has damaged vegetation, flooded three koi ponds and made the entire lower level of the botanical garden inaccessible."
Alachua County Approves 35 Additional Feet For Florence Landfill,"February 8, 2019",Alachua County recently approved to let a landfill in southeast Gainesville to grow as high as 195 feet.
"He Was Just Appointed To The South Florida Water District, But Who Is “Alligator Ron?”","February 6, 2019","A glimpse into the life of Ron Bergeron, the newest board member of South Florida Water Management District."
Ocala-Area State Representative Seeks Millions For Water Restoration Projects,"February 4, 2019",Republican State Representative Stan McClain attributes much of his education on water policy to the 12 years he served on the Marion County Commission.
"After Community Outcry In St. Augustine, Fish Island Property Owner Plans to Sell Land for Conservation","January 29, 2019","A Fish Island property owner told Regan they intended to sell the land to the North Florida Land Trust for conservation, he said."
"Flooding, ‘Brown Out’ Causes Closure Of Manatee Springs State Park","January 24, 2019","Heavy rains and flooding have resulted in what state park officials are calling a ""brown out"" and the closure of the swimming area at Manatee Springs State Park near Chiefland."
"After Michael’s Fury, An Angel Saves The Forgotten In A Florida Tent City","January 21, 2019","Hurricane Michael survivors were living in a tent city located in a church parking lot. When it was dismantled by Bay County, 50-year-old Shelly Summers brought them to her home."
"Gainesville Bans Expanded Polystyrene, Certain Plastic Bags As Of August 2019","January 18, 2019",Gainesville is now the second city in Florida to do this — the first being Coral Gables. Gainesville's ban takes effect Aug. 1.
FWC: Suspects Used Dogs To Attack Florida Black Bears,"December 19, 2018","Nine people face animal-cruelty charges and other allegations after a year-long investigation into the use of dogs to attack Florida black bears, Attorney General Pam Bondi’s office and the Florida Fish and Wildlife Conservation Commission announced Wednesday."
Peak Florida,"December 18, 2018","Florida’s population growth has rebounded since the recession. This special report examines the state’s latest growth wave, and whether we can welcome newcomers without losing what makes Florida, Florida."
"Final Two Readings On Gainesville’s Proposed Styrofoam, Plastic Bag Ban Scheduled For 2019","December 13, 2018",Commissioner Adrian Hayes-Santos has throughout 2018 driven the effort for “zero waste” Gainesville.
Future Gainesville Wawa Location Is One Of Three Designated Brownfield Sites,"December 7, 2018",Gainesville is moving forward with the cleanup of a petroleum-contaminated site in town.
It’s Known As The ‘ABC’ Plan. Can It Solve Red Tide?,"December 4, 2018","Red tide – the toxic algae scientifically known as Karenia brevis – continues to destroy marine life, restaurants and the livelihood of some South Florida communities."
"One Year After Irma, Some Marion County Cities Lack Reimbursement From FEMA","November 13, 2018",Cities in Marion County are still awaiting money from FEMA to mend hurricane damages. Ocala incurred $7.5 million in damages. 
"15,000 Homes To Receive Energy From FPL and NextEra Energy’s New Suwannee County Solar Facility","October 30, 2018",The new Echo River Solar Energy Center in Suwannee County is part of FPL’s push to decrease carbon emissions by reducing the dependency on oil.
Volunteers Look To Uproot Invasive Plant Spreading Across Florida,"October 22, 2018","While festive looking, the ornamental plant coral ardisia, also known as the Christmas berry, is an invasive plant species spreading across Florida and into the South. Volunteers are now trying to control the spread before it becomes a full-blown outbreak."
Florida Officials Raise State’s Death Toll To 16 After Hurricane Michael,"October 16, 2018","Officials say 16 people died in Florida because of Hurricane Michael, doubling the numbers of deaths in the state The Associated Press had previously attributed to last week's storm."
Steinhatchee Family Finds Strength And Tradition In Riding Out The Storm,"October 11, 2018","As Hurricane Michael skirted the Nature Coast, four generations of the Mitchell family weathered the storm, together, as they have done for decades. "
Michael Weakens After Historic Slam Into Florida Panhandle,"October 11, 2018",Hurricane Michael was the most powerful storm to make landfall in the continental U.S. in more than 26 years. The now tropical storm is moving over Georgia on its way to the Carolinas.
"Hurricane Michael Slams Into Florida, Charges Into Southeast","October 11, 2018","Hurricane Michael slammed into the Florida Panhandle with terrifying winds of 155 mph Wednesday, splintering homes and submerging neighborhoods before continuing its destructive charge inland across the Southeast. It was the most powerful hurricane to hit the continental U.S. in nearly 50 years and at least one death was reported during its passage."
Steinhatchee Marinas Prepare For The Worst With Hurricane Michael,"October 9, 2018","Hurricane Michael heads for Steinhatchee, a town that was ravaged by Hurricane Hermine only two years ago. The local marinas prepare hastily while residents lie low. "
Lessons Learned: Horseshoe Beach Residents Evacuate Ahead Of Hurricane Michael,"October 9, 2018","With Hurricane Michael fast approaching, residents of Horseshoe Beach are evacuating. Most are hoping to avoid a repeat of 2016 when Hurricane Hermine devastated the city. "
City Of Gainesville Launches New Electric Car Program,"October 4, 2018","Six new Nissan LEAFs, an all-electric model, are now available for Gainesville city employees to use. This is the first phase of a two-year pilot program."
Alachua County Organization Helps Lower Utility Bills For Low-Income Homes,"September 25, 2018","While utility bills are steadily rising in Gainesville and Ocala, the Community Weatherization Coalition is looking to make homes more energy efficient to cut what residents will need to pay each month. For Yvonne Dowers, a resident of southeast Gainesville, her electric bill can be nearly one-third of her monthly …"
Life After Maria,"September 20, 2018","A Year On, Puerto Ricans Devastated By The Deadly Hurricane Show Steely Resolve to Move Forward"
Florida Group Sends Help To North Carolina For Hurricane Florence Relief,"September 19, 2018","A church effort from Florida will bring more relief to the Wilmington, N.C., area, starting with a small town called Whiteville."
Program Offers Funding To Farmers For Water Conservation,"September 12, 2018",Farmers can apply for funding through an agricultural cost-share program to update their farms and reduce runoff into the Silver Springs watershed. 
Mobile Home Park Suffers Hurricane-Like Damage,"July 24, 2018","Sunday's storm left Whitney Mobile Home Park in worse condition than Hurricane Irma, according to some of the residents."
Alachua County Commissioners Discuss Raising Stormwater Assessment Fee,"July 16, 2018",Alachua County commissioners discussed setting new rates for the stormwater assessment fee to bring in more funding to deal with the flood issues.
Gainesville Commissioner Encourages Switch To Paper Straws,"July 11, 2018","Gainesville is looking to become a zero-waste city by 2040. According to Gainesville city commissioner Adrian Hayes-Santos, eliminating plastic straws may be a big step toward that goal."
Florida Gets Another Chance To Make Case In ‘Water War’,"June 27, 2018",The U.S. Supreme Court ruled Wednesday that Florida should be given another chance to prove its case that overconsumption of water in Georgia is damaging the Apalachicola River system.
Boardwalk At Devil’s Millhopper State Park Unlikely To Open Until 2019,"June 20, 2018",The park and its nature trail around the sinkhole remain open.
Gainesville Businesses Strive To Be Waste Free,"June 20, 2018","The Gainesville City Commission has adopted an initiative aiming for a 75 percent recycling rate by 2020, 90 percent by 2030 and “zero waste” by 2040."
Micanopy Farm Seeks Foster Homes For Horses,"June 19, 2018","After an unusually stormy start to the Florida summer, the Horse Protection Association of Florida is seeking temporary foster homes for some of the horses until their flooded pastures dry up. "
"Alachua County Votes To Buy Weiss Property, Open Trails Within A Year","June 13, 2018",That 12-month trail-opening timeline was part of his motion Tuesday night to have the county spend $2.9 million for its share of a joint $4.4 million purchase with the City of Gainesville.
Tourism Boost Sought After Alberto Blows Through,"May 29, 2018","As winds and rains let up from Subtropical Storm Alberto, Florida officials Tuesday were quickly spinning ways to draw tourists to areas that may have missed out on Memorial Day crowds."
"Florida Voices | Kenny Camp, 40 Acres","May 28, 2018","Black farmers made up 16 percent of U.S. farmers in 1920. Today, that number is less than one percent. Kenny Camp worries the family he has worked on since he graduated high school will end with him."
More Sinkholes Open In Marion County,"May 23, 2018",More sinkholes were reported Monday in Marion County around homes that were previously evacuated for the same reason in February.
Volunteers Collect Thousands of Pounds of Trash From Gainesville Creeks,"April 24, 2018","About 150 volunteers with Current Problems Inc., a non-profit organization dedicated to protecting water resources in North Florida, recently collected 6,590 pounds of trash from creeks around Gainesville. Most of the trash likely came from flooding during Hurricane Irma, said Megan Black, executive director of Current Problems."
Why Wishful Thinking Leads To ‘Wishful Recycling’ Problems In Alachua County,"April 11, 2018","Wishful recycling is when a consumer hopes that a good is recyclable and puts it in their collection bin, but in reality, that slows down the recycling operation."
Waterways Group Warns Of Fecal Contamination Impacting Gainesville Creek,"April 6, 2018","Megan Black said that nearly all creeks in the Gainesville area are considered “impaired.” This classification indicates that the water body has become so polluted that it no longer does its job properly, and county officials are taking notice. "
Lochloosa Lake Homeowners Battle Invasive Plants,"April 5, 2018",Invasive plants such as hydrilla and hyacinth pose a mounting concern for homeowners on Lochloosa Lake in Hawthorne.
"How Are Gainesville, Alachua County Going To Use Millions In Wild Spaces And Public Places Funds?","April 5, 2018","The county and its municipalities all receive portions of this funding, but the largest chunk, 57.17 percent, goes to the county and the second largest 35.78 percent, to the City of Gainesville. What is Gainesville going to spend this money on?"
How Will $100 Million A Year In New State Funding For Land Conservation Affect Alachua County?,"April 2, 2018","With $100 million a year Florida has budgeted for land acquisition and conservation, Alachua County could have the funding to buy 13,351 acres of land for future parks."
Untold Florida: Not Every Item That You Put in the Bin Can Be Recycled,"March 28, 2018","Of the thousands of tons of recycling processed each year by the Alachua County Materials Recovery Facility, some of those items cannot be recycled."
"Thunderstorm Slams Gilchrist, Levy County Residents With Power Outages","March 19, 2018",A massive thunderstorm with winds reaching up to 60 mph ravaged counties in North Central Florida Monday morning.
UF Students Present Cabot-Koppers Ideas To City Commissioners,"March 19, 2018",A University of Florida class project is playing a part in helping an east-side Gainesville community decide how it might best improve the  Cabot-Koppers property.
Alachua Conservation Trust Seeking To Preserve More Of The Santa Fe River,"March 15, 2018","The Santa Fe Preserve Project is collaborating for the first time with Conserve with Us, a funding organization that launched six months ago, dedicated to conserving natural land."
Plans For Development Near Northwest Gainesville Walmart On Hold To Balance Environmental Interests,"March 15, 2018","Potential rezoning would allow for single residential, multi-family residential, mixed-use development and conservation management areas on the site containing wetlands and nearly 1,200 acres of planted pines. But that rezoning may not happen anytime soon. "
"Loud, Late and Littered: Lake Geneva Parties Continue Despite County Ban","March 15, 2018","Just three months after the Clay County Commission banned motor vehicles from driving at night on the dry lakebeds of Lake Brooklyn and Lake Geneva, some residents of Keystone Heights are complaining that nothing has changed."
Gainesville Resident’s Idea Brings Local Community Together To Clean Up Sweetwater Branch Creek,"March 1, 2018","In the recent years Sweetwater Branch Creek along University Avenue and 4th Avenue has become a forgotten park and littered waterway. Now volunteers are trying to clean up the creek that flows through the downtown area of Gainesville, located between the Matheson History Museum Complex and the Alachua County Library District Headquarters."
"State, Federal Grants Could Help Two Alachua County Neighborhoods That Flooded During Irma","February 21, 2018","The people living in the Robin Lane and Hills of Santa Fe neighborhoods in Alachua County are frequent flooding victims, so Alachua County will seek state and federal grants to help fix the issue."
Weil Hall Addition Marks Another LEED-Certified Building On University of Florida Campus,"February 20, 2018","The University of Florida is adding its 75th LEED-certified campus building, strengthening its push toward a greener campus."
Devil’s Millhopper Boardwalk Remains Closed Five Months After Hurricane Irma,"February 14, 2018","Devil's Millhopper State Geological Park's park’s most popular feature, the 232-step staircase leading down to the sinkhole, was significantly damaged during Hurricane Irma and remains closed."
Pine Beetle Infestation Temporarily Closes San Felasco Trail,"February 13, 2018",Southern pine beetle outbreak causes temporary closure of hiking trail in San Felasco Hammock Preserve State Park.
"For 200 Hours Each Year, This Man Picks Up Litter in Alachua County","February 13, 2018","Alex Rosenzweig is a familiar face on the streets of Alachua County, picking up litter to help keep his community clean and beautiful. He recently won a national award."
Gilchrist’s Blue Springs State Park Officially Opens,"February 12, 2018","The state of Florida officially added the 175th state park on Friday. Blue Springs State Park is open, campgrounds, springs, and all."
The Python Elimination Program: Saving The Everglades One Snake At A Time,"February 2, 2018","The number of pythons caught and killed since the South Florida Water Management District launched the program speaks for themselves, killing over 800 pythons in one year."
Untold Florida: How Much Arsenic Is In City of Gainesville Tap Water?,"January 17, 2018","This story emerged from an audience question. Submit your curiosities for Untold Florida, and we’ll find the answer. "
Fairer Future,"December 20, 2017",The energy burden facing Gainesville's low-income residents is not inevitable.
Energy Burden: Reaching Out,"December 19, 2017","Many Gainesville residents may not realize how much low-income families struggle to pay utility bills here. A small but committed corps has worked on the problem for years. But ultimately, solving the energy burden will take the larger community and core fixes, from affordable housing to transportation."
Energy Burden: Deficient Dwellings,"December 18, 2017","Inferior housing is a key factor for why the poor pay more for energy in Gainesville, including rental properties with appliances so old or inefficient that utility bills can rival the rent."
Energy Burden: The Power of Irma,"December 15, 2017",Gainesville residents did not have equal access to energy and water in the wake of the hurricane; the reasons stretch back to the city's historic development roots.
Energy Burden,"December 14, 2017","Energy comes at a much greater cost for Gainesville’s poor, from the portion of income spent on utilities to the number of days without power after Hurricane Irma. A special report on why the poor pay more, and what we can do.​"
Alachua County Commission Takes First Step to Fixing Legacy Flood Issues,"December 6, 2017",Flooding issues have persisted in certain parts of the county for years. Some residents have lost their homes to flooding multiple times. 
Commissioner Hopes Decades-Long Plan Will Take Gainesville To Zero Waste,"December 6, 2017","Commissioner Adrian Hayes-Santos' plan — first talked about officially in August but a long-term idea he's had since before he was elected in 2016 — includes recommendations for across the city, including its businesses and homes. They include requiring some restaurants to separate and compost food waste and prohibiting single-use plastic bags and Styrofoam."
Alachua County Farms Recover Months After Hurricane Irma,"December 1, 2017",Alachua county farms are finally recovering after damage sustained from Hurricane Irma.
Bacteria In Local Creeks Pose Safety Risks,"October 31, 2017",City park officials warn visitors of bacterial contamination in urban creeks due to runoff and animal waste.
Alachua County Ready To Start Phase Two Of Newnans Lake Improvement Initiative In March,"October 13, 2017","The Newnans Lake Improvement Initiative aims to clean up Newnans Lake for environmental and recreational purposes for 250,000 Alachua County residents, according to the initial project funding request. The second phase of the project is scheduled to start in March."
Find Out Florida: Did Hurricane Irma Return Lochloosa Lake’s Water Levels To Normal?,"October 13, 2017","This week on The Point podcast, a story from Florida's death chamber, a lesson on the First Amendment and university campuses, and the scene at Lochloosa Lake after Hurricane Irma hit. Find it at WUFT.org."
Q&A With Former FEMA Administrator Craig Fugate,"September 29, 2017","Former FEMA Administrator Craig Fugate spoke at the Bob Graham Center for Public Service Thursday night. Fugate led FEMA during the Obama Administration and oversaw the responses to major disasters including Hurricane Sandy, Hurricane Matthew and the 2016 flooding in Louisiana."
"In Archer, Stalled Plan For Wastewater Plant Still Causing Rifts","September 25, 2017","For the city of Archer, a plan to build a wastewater treatment plant has been clogged by years of debate, inability to find adequate land and, recently, a battle between the city and one local couple."
Florida Wildlife Care Becomes Refuge For Injured Animals After Hurricane Irma,"September 15, 2017",Florida Wildlife Care helps animals recover from the impending damage that Hurricane Irma had on the wildlife of Florida.
Appeals Court Orders Review Of Sabal Trail Pipeline,"August 23, 2017","A federal appeals court has ordered a review of the Sabal Trail pipeline, saying that the initial approval did not take greenhouse-gas emissions from Florida power plants into account. The pipeline goes from Alabama, through part of Southwest Georgia and then through Florida to Osceola County. "
Find Out Florida: What Incentives Are Available To Families Who Want To Install Solar Panels?,"August 18, 2017","In Find Out Florida this week, WUFT looks at the incentives available to homeowners who want to add a rooftop solar system."
Project: Blue Ether Wins SPJ Florida’s James Batten Award for Public Service,"August 7, 2017",Project: Blue Ether was awarded the 2017 James Batten Award for Public Service by the Florida chapter of the Society for Professional Journalists (SPJ) at the 23rd annual Sunshine State Awards. 
Study Offers Warning For Florida Farmers From Global Warming,"July 24, 2017",Florida strawberry growers already have experienced a dress rehearsal for the impacts of climate change during the past two seasons.
State Weighs Concerns About Cobia In Gulf,"July 10, 2017","The Fish and Wildlife Conservation Commission, in a meeting Monday that focused heavily on fishery issues, backed a draft proposal that would reduce the number of cobia that can be caught per day in Gulf waters north of the Collier-Monroe County line."
Florida Opens Large Stretch Of Gulf Coast For Scalloping,"July 3, 2017",The Florida Fish and Wildlife Conservation Commission opened an area from St. Vincent Island in Franklin County to the Pasco and Hernando County line to recreational scalloping over the weekend.
